index,User,Tweet,Retweet count,Likes count,Tweet value
17,1,"@DrTedros ""At , we’re not just battling the #2019nCoV virus; we’re also battling the trolls and conspiracy theorists that push misinformation and undermine the outbreak response. 
 
 However,  and partners are fighting back with a four-pronged approach""-@DrTedros",53,82,2440.26
18,0,"Dear @CDCDirector Redfield: Did you take a loyalty oath to @realDonaldTrump?

Also, if you actually believe there was decisive leadership, how come my local health officials and others across America still don’t have the promised #coronavirus test kits? https://t.co/QVUZCU967R",2879,7520,2771.12
21,1,@DrTedros @WPRO @SEARO @pahowho @_Europe @EMRO @AFRO @UN_News_Centre @UN @UNGeneva The full statement by @DrTedros on IHR Emergency Committee on new #coronavirus 👉 https://t.co/4Ui8D6Mke8 https://t.co/92rihQmclE,660,741,3221.14
23,0,"The Coronavirus shows the value of the U.S. being self-reliant, sovereign, strong on borders and immigration. It is a matter of national urgency that we manufacture our own critical drugs, steel, other essential goods.",12215,41834,5800.45
24,0,"CORONAVIRUS.
9 million people worldwide regularly die of hunger each year. There is no global collaboration to tackle this unlike the current virus outbreak. Nor indeed any mass media coverage if any. 
THE REASON is simple.
Rich people do not catch starvation.",2319,5953,18.17
27,0,"While the rest of the world is occupied with #coronavirus, a gruesome mystery sickness is killing Ethiopians of all ages as hospital treatment appears ineffective. The disease is spreading near a Chinese natural gas project in the Somali region. https://t.co/XoY70Njmpi",2137,2329,2268.98
28,0,"The Trump administration seems to believe that the answer to any problem is a tax cut.

This is a HEALTH CARE crisis.

It demands a HEALTH CARE solution.

The best way to ensure economic security for the American people is to deal with the coronavirus itself. https://t.co/NVWvP6UjKD",2025,5916,4863.05
29,0,"A coronavirus case has been found in Chicago, the second instance of the deadly viral illness to be found in the United States https://t.co/pD84VfRyEc",1591,2350,2521.44
31,1,"@pahowho @_Europe @EMRO @AFRO @SEARO @WPRO ""Road traffic crashes are not “accidents”.
 
 When someone drives 🍻 and 💥, it’s not an accident
 When a driver is distracted by their📱and 💥, it’s not an accident
 When a 🏍🛵 dies because they’re not wearing a helmet, it’s not an accident"" - @DrTedros 
 
 #RoadSafety https://t.co/s1T0QgfIdW",104,162,2928.31
32,1,"""Sadly, there are reports from some countries of an increase in domestic violence since the #COVID19 outbreak began.
 As people are asked to #stayhome, the risk of intimate partner violence is likely to increase""-@DrTedros #EndViolence",151,232,2440.25
34,1,"👨‍⚕️👩🏽‍⚕️ supporting a🤰 giving birth with suspected or confirmed #COVID19, must protect themselves &amp; others through:
 🔷 👐 washing
 🔷 wearing gloves, 😷 &amp; protective clothing
 🔷 limiting the number of accompanying people
 🔷 maintaining a record of people entering the woman’s room",200,502,2440.25
35,0,"Testing kits weren’t as available or accurate as they should've been in the early days of the coronavirus outbreak

It was reported today that Pres. Trump’s admin was slow to develop an accurate test and slow to allow hospitals and labs to develop their own

That is unacceptable https://t.co/nlWk8UbppX",3063,7757,4863.06
37,0,"China is building a new 1,000-bed hospital in five days to treat victims of the new deadly coronavirus.

Get the latest on the #coronavirus here 👉 https://t.co/j01UaC8ySA https://t.co/Af3YjVciML",4367,7802,12892.85
39,0,แมคโดนัลด์ญี่ปุ่นบ้าบอมาก ผู้บริหารสั่งห้ามพนง.สวมหน้ากากเพราะมันจะไปบดบังรอยยิ้ม ท่ามกลางสถานการณ์ไวรัสระบาด พนง.ก็เสี่ยง ลูกค้าก็เสี่ยง หลังข่าวนี้แพร่ออกไป แมคโดนถล่มและคนที่โดนด่าหนักสุดคือผู้บริหาร  #COVID19 #ไวรัสโคโรน่า #ไวรัสโควิด #ไวรัสโคโรนาสายพันธ์ุใหม่ https://t.co/6GchZ8sDV0,7467,440,53.95
40,0,"Italia ha decidido que la gente no pague la hipoteca durante el coronavirus.  En pocas horas, la dichosa enfermedad ha conseguido tumbar todos los dogmas que los neoliberales llevan años repitiendo.

https://t.co/bXcFzA4JhI",2565,5845,52.89
41,0,"Screenshots from last night's Fox News and Fox Business coverage of coronavirus heavy on Dear Leader-ism and media blame. 

Yes, that's a photo from the Benghazi attacks in the Ingraham one. https://t.co/5KDuGcl544",1253,3416,329.77
42,1,"Q: Could #ibuprofen worsen disease for people with #COVID19?
 
 A: Based on currently available information,  does not recommend against the use of of ibuprofen. https://t.co/n39DFt2amF",7697,8607,14641.52
43,1,"#COVID19 vs influenza: both cause respiratory
 disease, yet there are important differences between the two viruses and how they spread.
 
 More 👉🏼  Situation Report 6 March 2020 https://t.co/ALKwGrSNK0 
 
 #coronavirus https://t.co/UGGHiUFL5a",1761,2399,16105.68
44,1,"@pahowho @_Europe @EMRO @AFRO @SEARO @WPRO @DrTedros Buckle up! Wearing a seat-belt reduces the risk of death among drivers and front seat occupants by 45 - 50%, and the risk of death and serious injuries among rear seat occupants by 25%.
 #RoadSafety 
 https://t.co/HWuXkjWz4W https://t.co/2H8G29O45e",57,138,3221.14
45,1,".@DrTedros calls on @g20org to Fight, Unite, and Ignite against #COVID19 👉https://t.co/JlSYDnkoLm #coronavirus",307,980,13421.4
46,0,"Maybe during the coronavirus, people want a competent, experienced President with executive experience who has handled complex issues well.",3237,25620,567.49
49,0,"Today at the corona virus press conference, @VP wiped his nose with his hands then proceeded to shake everyone’s hands 😳😅

Pence is leading the response against #coronavirus https://t.co/Bb54CzXsUe",6498,11159,69.52
50,0,"Dear coronavirus,

Take people like this first! https://t.co/90kG2Cq9t0",2412,13633,606.94
51,0,Ninguém me tira da cabeça que o coronavirus foi criado em laboratório com o objetivo resolver alguns problemas mundiais e muito mais https://t.co/4wqRKxdAl0,7941,12326,8.43
52,0,นี่งายๆๆๆ คนไข้รายแรกของไทยที่หัวหิน เป็นหมอที่อู่ฮั่น คนไข้ที่อาการหนักตั้งแต่รพ.ที่หัวหินส่งมารักษาตัวที่รพ.ราชวิถี แล้วก็เป็นเคสที่หมอไทยคิดใช้ยา 3 อย่างรวมกัน ที่เป็นข่าวฮือฮาตอนนั้น ... ล่าสุดคือเขาหาย กลับบ้านแล้ว ก็เลยมีจดหมายถึงหมอไทยที่รักษาเขาจนหาย #COVIDー19 #โควิด19 https://t.co/EZt6tPSPID,14027,2586,0.77
53,0,"อยากให้มีจิตสำนึกแบบพี่คนขับแท็กซี่คนนี้นะ นี่ขนาดเค้าติดระหว่างทำงาน แต่พวกที่ไปเที่ยวมาสบายใจเฉิบ กลับมามีความเสี่ยงติดเชื้อมาดันพยามปกปิดข้อมูลหลบเลี่ยงการตรวจ 
แม้แต่คนใจครอบครัวตัวเองยังไม่สนใจเลย ปล่อยให้หลานติดอะ สำนึกแรกที่ห่วงคนในบ้านยังไม่มี 
#COVIDー19
#โควิด19 https://t.co/5aA8vcohHK",6339,1255,0.05
55,0,"🚨BREAKING: @ says the **case-fatality rate for #coronavirus is 3.4%**.😳

The 1918 Spanish Flu that killed 50 million worldwide (population 1.9 billion) had a CFR of ~2.5%, whereas usual seasonal flu is 0.1%

NOT good.

#COVID19 #CoronavirusOutbreak #pandemic
h/t @lauferlaw https://t.co/FH2pW2cOoW",2584,3174,654.59
56,1,"@DrTedros ""We are concerned that countries’ abilities to respond are being compromised by the severe &amp; increasing disruption to the global supply of personal protective equipment – caused by rising demand, hoarding &amp; misuse""-@DrTedros #COVID19 #coronavirus",652,959,2440.25
57,0,"Satu lagi kes positif #coronavirus #2019nCoV melibatkan seorang lelaki dari Wuhan, China.

Lelaki itu kini di bawah jagaan Pasukan Perubatan Penyakit Berjangkit Hospital Sultanah Aminah, JB. 

Ini menjadikan 4 kes positif #coronavirus di negara ini. 

https://t.co/8ugdp3Prcd",7712,3614,674.85
58,0,"If they're going to report every Coronavirus death, I think they should have to report every:

Flu Death
Car Accident Death
Smoking-related Death
Alcohol Related Death
.
.
.
You get the point.  

ENOUGH WITH THE FEAR MONGERING",1865,3728,47.42
59,0,LIVE: Press Briefing with Members of Coronavirus Task Force https://t.co/uTydIkjCtH,2090,4595,34415.82
61,0,"Every year, on average, 50,000 people die from the flu in the US yet most people won’t take the time to get a flu shot. Two people have died of coronavirus and the country is losing its mind. Chill. Out. People.",5568,27040,1392.0
64,0,"“Siete preoccupati per il Coronavirus?”

Veneti:”noi abbiamo l’alcol che ci protegge”

Toscani:”mi importa na sega”

Baresi:”non ho preso niente, né mascherine né niente, voglio morire”

 HO LE LACRIME AGLI OCCHI",2644,11868,18.89
65,1,".@DrTedros welcomed @g20org commitment “to do whatever it takes to overcome the #COVID19 pandemic”:
 -protect lives &amp; livelihoods
 -restore confidence &amp; shore up stability currently threatened in trade &amp; other sectors
 -take all necessary health measures
 -ensure adequate financing",39,95,2440.25
66,1,"@DrTedros @MunSecConf “Two years ago, @ &amp; @WorldBank founded the Global Preparedness Monitoring Board, an independent body to assess the state of the 🌎’s readiness for a pandemic.
 Last year the board published its 1st report, which concluded the world remains dangerously unprepared.”-@DrTedros",14,26,2440.26
68,0,I support this message on #coronavirus prevention. https://t.co/YxLXKhpcoG,1759,7250,2771.12
69,0,I wasn’t worried about coronavirus until I see RAMBO wearing gloves! https://t.co/EEIUhENdpM,1770,4342,1880.95
70,0,"Llegando al Aeropuerto Internacional de la Ciudad de México y les comparto que NO hay una sola medida sanitaria para revisar posibles casos de CORONAVIRUS. Bueno, ni te preguntan de donde vienes. CERO control de nada. 

Para la 4T la SALUD no es prioridad. 

Es lo que hay.

🤦🏻‍♀️",2350,6012,377.36
71,0,"There are lots of misconceptions about #CoronaOutbreak 

Here are some FUN FACTS!

Bollywood is the best way to learn! #COVID19 #CoronaVirusUpdates https://t.co/jtchXfj9g6",2308,6372,180.19
73,1,"""It’s vital to coordinate research so that different groups around the world complement each other, so  can give better advice, and countries can take evidence-based decisions that save lives""-@DrTedros #COVID19 #coronavirus",70,108,2440.25
74,1,"""I thank PM @AbeShinzo &amp; the members of the @Olympics for making this sacrifice to protect the health of athletes, spectators &amp; officials. We look forward to next year's Olympics &amp; Paralympics, which we hope will be a bigger &amp; better celebration of our shared humanity""-@DrTedros",52,157,2440.25
77,0,"With coronavirus, both the US and UK are learning, in real time, what happens when you elect people who are manifestly unfit to lead",3500,16695,19.85
78,0,"The new #coronavirus has killed about 3.4% of confirmed cases globally - making it deadlier than the flu, but still containable. 

The seasonal flu's fatality rate is below 1% https://t.co/WuZSmsX0yh https://t.co/gtXfr8k0oN",4956,9439,2762.58
79,0,"In the last 2 weeks, I have used the Abuja International Airport twice, London Heathrow Airport four times and Washington Dulles Airport twice. I also used the London Underground trains twice. I only saw precautionary preventive efforts against #COVID19 was in Nigeria. Thread...",6722,10098,761.52
80,1,"@AFRO @pahowho @_Europe @SEARO @Philippines @EMRO @WPRO Every 40 seconds someone dies by #suicide.
 
  calls on all fillmmakers, TV, theater &amp; cinema producers to support our #40seconds campaign &amp; help us prevent more suicides from happening.
 
 Art is a powerful way to help those in need.
 
 https://t.co/vdgRTKkvRx https://t.co/xt0IKfS1QB",40,71,3221.14
81,1,"@juliaoftoronto Yes, coming up shortly 🙂",0,5,2440.25
83,0,"Dems are:
– Threatening Supreme Court justices
– Hoping bad things happen to the economy
– Trying to sneak their liberal agenda into legislation to combat Coronavirus

Now is not the time for political games. Dems should be working WITH @realDonaldTrump on this—not fighting him. https://t.co/MbWwyoftF8",2026,4572,1084.56
85,0,"Meanwhile, North Korea has developed the most effective way of containing the coronavirus covid19. https://t.co/5qITEbcDdq",19005,16547,31.21
87,0,"UN ARGENTINO CON CORONAVIRUS.
UN ARGENTINO PREMIADO EN LOS OSCARS.
FEBRERO, SOS NUESTRO.",1888,33820,2.92
88,0,"Current coronavirus precautions in Europe's top five leagues:

La Liga: All games behind closed doors
Ligue 1: Limited to 1,000 fans
Serie A: Suspended until April 3rd
Bundesliga: Multiple games behind closed doors
Premier League: No pre-match handshakes https://t.co/IbblgNFfUO",1384,6103,4510.97
89,0,"SE CANCELÓ EL LOLLAPALOOZA POR CORONAVIRUS

Ahora que tengo tu atención jaja cómo vas a perder el torneo en la última fecha ENFERMO",5422,31359,4.62
90,0,#ÚLTIMAHORA 🚨 Se confirma primer caso de coronavirus en México https://t.co/r00tiM2keH https://t.co/L9WaP1emFd,3759,4809,2497.51
93,0,"We could make all coronavirus testing free.

We could be expanding hospital beds.

We could be investing in respirators.

We could beat this.

But instead people will die.

Because Donald Trump thinks it'll hurt HIM if he admits it's a real problem.",2430,11224,589.38
94,0,Beberapa Tips Untuk menghadapi Coronavirus yang katanya udah ada yang positif di Bandung guys. Silahkan. https://t.co/NYYG75LEbI,20930,36497,3.04
95,1,"All #HealthWorkers, including those providing support to people with disability should follow the  guidance to 👩‍⚕️🧑‍⚕️during the #COVID19 outbreak. 
 
 👉 https://t.co/DEVVyxkXcZ
 #coronavirus https://t.co/SO6mlT1WRh",168,424,3221.14
96,1,"The aim of the @FCTCofficial is to protect present and future generations from the devastating health, social, environmental and economic consequences of tobacco consumption and exposure to tobacco smoke.
 https://t.co/XC4AoKeRA7
 #NoTobacco 🚭 https://t.co/3uWbA7g7Nt",19,66,3221.14
97,0,"Latinoamérica no está lista para el Coronavirus. China hizo un hospital especializado en 10 días. Colombia se ha gastado dos bonanzas petroleras en 20 años y no ha hecho un solo hospital, ni una universidad, ni un aeropuerto, ni un metro, ni mierda. https://t.co/DrfKEM3v99",3148,8508,14.96
98,1,"“Even those countries with community transmission or large clusters can turn the tide on this #coronavirus.
  
 Several countries have demonstrated that this virus can be suppressed and controlled.”-@DrTedros #COVID19",1360,2687,2440.25
99,0,"Wuhan Coronavirus

Sehingga kini ia telah meragut 6 nyawa di China. Strain virus ini semakin merebak ke serata dunia.

#wuhan #coronavirus #shazikfacts https://t.co/rLMeXGmPZv",4626,1665,7.15
100,0,"Me tienen totalmente podrido con el CORONAVIRUS.

Mañana nos podemos quedar sin REPÚBLICA.

Mañana el KIRCHNERISMO se puede quedar con la JUSTICIA de JUJUY y de todo el PAÍS.

Qué les pasa PERIODISTAS?

TENGAN DIGNIDAD CARAJO!!!

ME TIENEN HARTO!!

#10M",1349,2790,115.21
102,0,"Over 175k people are incarcerated in federal prisons &amp; jails &amp; are especially vulnerable to coronavirus. I asked the BOP &amp; private prison companies what they’re doing to protect incarcerated people, staff, &amp; visitors from a potential outbreak. https://t.co/sKVFVZZGRl",1489,6433,10856.47
103,0,"BREAKING: First coronavirus case confirmed in DC. I guess Trump was lying when he said this was all going to slow down. Who woulda thunk it?

Oh. Everyone.",3484,14369,1268.6
104,1,"When coughing or sneezing, all members of a household with people with suspected or confirmed #COVID19 should cover mouth and nose with flexed elbow or use a disposable tissue 🤧 &amp; discard immediately after use.
 #coronavirus https://t.co/ROorVKJHxp",265,566,2928.3
106,0,"Fueron ingenieros petroleros cuando el huachicol, ingenieros aeroportuarios cuando el NAIM y ahora van a ser epidemiólogos con el Coronavirus. La derecha sabe de todo. No sé qué hacen inventando FakeNews cuando podrían estar en la NASA.",2996,8457,242.9
107,1,"""Even if we do everything else right, if we don’t prioritize protecting #healthworkers, many people will die because the health worker who could have saved their life is sick""-@DrTedros #COVID19 #coronavirus",211,338,2440.25
108,0,"Congress is making sure our health experts &amp; leaders have the funding they need to combat the coronavirus. We passed nearly $8B in supplemental funding. These surge resources will help public health leaders, researchers, &amp; state and local governments work to protect Americans.",2171,9794,2769.71
111,0,Voy a solicitar se constituya en forma URGENTE la Comisión de Salud de la Cámara de Diputados y se convoque al Ministro de Salud Ginés Gonzalez Garcia para que explique las medidas que se van a adoptar para impedir la propagación y contagio del Coronavirus en el país,2473,7053,78.29
112,0,"Oigan, pero no habíamos quedado que eran los empresarios los que creaban riqueza. Entonces, ¿por qué les preocupa tanto que el coronavirus obligue a los trabajadores a quedarse en casa? Tranquilos, seguro que la plusvalía se genera sola.",1238,3381,154.03
114,1,"When there is CLUSTERS OF #COVID19 cases, to stop transmission &amp; prevent spread:
 👩🏻‍⚕️ Advocate for home care for mild cases, if health care systems are overwhelmed; identify referral systems for high risk groups.
 
 More: https://t.co/4QQ7VcQPe4 
 
 #coronavirus https://t.co/kF5pp7tewf",101,179,3221.14
115,0,el coronavirus cuando se dió cuenta que estaba dentro de ortega smith  https://t.co/O3h6vupOOb,3778,12064,1.88
116,0,"We’re now at 20 confirmed cases, date and time stamp 3/9/20 1648H. #COVID19 https://t.co/KqbmPWprj6",1202,2533,380.03
117,1,"@DrTedros "" estimates that global frontline health emergency responders will require approximately 7% to 10% of market capacity. This percentage may be higher for other critical supplies.
 Frontline #healthworkers in #China require the bulk of PPE supplies""-@DrTedros #2019nCoV",51,69,2440.26
120,1,"@DrTedros ""The Commission calls on  to be:
 -more nimble, innovative &amp; enterprising in our work to #BeatNCDs, to be a thought leader in taking &amp; managing risks in our engagement with the private sector
 -more effective, efficient &amp; strategic in delivering impact in countries""-@DrTedros",18,50,2440.26
121,0,"Tiga lagi kes disahkan positif novel coronavirus di negara ini, menjadikan 7 kes setakat ini.

1. kanak-kanak 4 tahun di Langkawi. 
2. Lelaki 52 tahun di JB.
3. Menantu perempuan kpd kes pertama di Singapura. 

https://t.co/pEDltetVbG",14608,6631,674.85
122,1,"It's vital that everyone, including all migrants and refugees have equal access to health services and are included in national responses to #COVID19, including prevention, testing and treatment. https://t.co/vDa4UnT4A2",77,149,2684.28
125,0,"We petition Congress to immediately fund an emergency #BasicIncome for every adult and child in the US, starting with a stimulus of $1,000 per American adult and $500 per child and a monthly stipend TBD going forward until the #COVID19 crisis has passed.
 https://t.co/CP5PbWqgKP https://t.co/gwNmPof8bd",1535,4143,341.05
126,0,"The Lagos state ministry of health has declared two TK625 passengers wanted.

Enwelunta Obumnore Godfrey and Salami Abiodun Sadeeq are PRIMARY CONTACTS of Nigeria’s index coronavirus case.

If have any information about them please call LASGS epidemiologist on +234 802 316 9485",1106,383,116.21
131,0,"Confirmed coronavirus cases:

- China
- United States
- France
- Japan
- South Korea
- Taiwan
- Singapore
- Thailand
- Australia
- Nepal
- Vietnam
- Hong Kong
- Macau
- Malaysia
- Canada (presumptive)",4080,6402,2598.05
132,0,"Lot going on in this CDC briefing. We're told to expect 'community spread' of coronavirus, much like what's happening in South Korea and Italy. Schools may need to close, mass public gatherings may need to be modified, postponed or canceled. 'Significant disruptions' possible.",2529,5283,14.45
133,1,"""There’s an ongoing debate about the use of masks at the community level. 
 
  recommends the use of medical masks for people who are sick and those caring for them""-@DrTedros #COVID19 #coronavirus",779,1062,2440.25
134,0,"🔴 Le football face au coronavirus :

🇮🇹 Championnat suspendu

🇫🇷 Huis-clos des stades (ou 1.000 spectateurs max)

🇪🇸 Huis-clos des stades

🇩🇪 Encore aucune mesure particulière

🏴󠁧󠁢󠁥󠁮󠁧󠁿 Encore aucune mesure particulière",1106,5446,3476.57
135,1,"""Women in abusive relationships are more likely to be exposed to violence, as are their children, as family members spend more time in close contact, and families cope with additional stress and potential economic or job losses""-@DrTedros #COVID19 #EndViolence",109,206,2440.25
137,0,"🚨BREAKING: #Italy may lock down entire sections in its north and restrict movement for 25% of its population, as #coronavirus cases more than DOUBLED from 2,500 to &gt;5,800 in 3 days.

Expect major closures in the US soon.

#CoronavirusOutbreak #COVID19 
https://t.co/4zlOfbx8bR",1729,2496,654.59
140,0,"El gobierno permitió que se celebrase el 8M en plena epidemia del Coronavirus (aun sabiendo lo peligroso que era) porque el feminismo les da votos.

A la izquierda siempre le ha importado más perpetuarse en el poder que la salud de su querido ""pueblo"".",1494,4132,27.25
141,0,"the number of Chinese people in Britain with confirmed cases of coronavirus is still fewer than the number of Chinese people doing comedy

so if you see a Chinese person on the tube and assume they are a comedian that would be statistically less racist",8440,42278,59.71
142,0,"BREAKING: All Italy is locked down, PM Conte has just announced. Everyone must remain at home. Nationwide lockdown. #COVID19",2696,5322,67.27
143,0,Can someone explain how we estimate the death rate for Coronavirus without knowing the denominator?,2050,14375,926.29
145,1,"@DrTedros @WPRO @pahowho @_Europe @EMRO @SEARO @AFRO @FAO @UN @GlobalGoalsUN ""With the @ITU, we launched standards for #SafeListening, to reduce the risk of hearing loss among users of personal audio devices. These standards have already been integrated in the health application on iPhones""-@DrTedros #EB146 
 https://t.co/wajViQ7Jif",17,41,2684.29
146,0,"La Tunisie qui met ""en quarantaine"" le contaminé du coronavirus 😭 : https://t.co/G5pXghJJ01",12589,45004,6.95
147,1,@DrTedros @AFRO @OMSRDCONGO @pahowho @_Europe @WPRO @SEARO @EMRO The Emergency Committee on #Ebola in #DRC emphasized the importance of continued support by  and other national and international partners towards the effective implementation and monitoring of these recommendations. https://t.co/SOrOZSwZsb,39,78,2684.28
148,1,"""During this difficult time, it’s important to continue looking after your physical and mental health. This will not only help you in the long-term, it will also help you fight #COVID19 if you get it""-@DrTedros #coronavirus",245,422,2440.25
150,0,#ÚltimaHora Se confirman los primeros casos de coronavirus en México. Durante la madrugada un paciente internado en el Instituto de Enfermedades Respiratorias dio positivo a la segunda prueba de coronavirus Covid 19.,2496,5165,1546.85
151,0,"Hola @SanchezCastejon

1. No compareces de urgencia por #coronavirus

2. No cancelaste ningún evento pese a recomendaciones de la OMS.

3. Incitaste al #8Marzo con 120.000 personas

4. Tu Gobierno asistió con guantes pese a que decían que ""no había nada que temer""

Sinvergüenza. https://t.co/JVpyQ4aoGU",2042,3301,258.16
152,0,"#COVIDー19  28  kes baru disahkan positif di Malaysia, 6 Mac 2020.

Kebanyakan kes baru ini adalah generasi kedua (kontak rapat kpd kontak rapat) kpd satu kes kluster. 

Keseluruhan 83 kes setakat ini, termasuk 23 yg sembuh dan discaj. 

Kenyataan penuh menyusul.",11604,6632,613.49
153,0,"President @realDonaldTrump's early action on coronavirus bought time and saved lives. 

Community leaders can help by sharing @CDCgov's recommendations for prevention and preparation: https://t.co/W8gUQ0ajWA https://t.co/HJX8vGJrMu",2163,8123,41298.92
156,0,"DOH releases the hospitals where the 10 new COVID-19 cases are currently confined. At least 3 of them had no travel history abroad, while two had come in contact with coronavirus patients. https://t.co/0sY7pwIGTb https://t.co/Xk2yOuBIpl",1557,1330,381.82
158,1,"""But we know that some countries are experiencing intense epidemics with extensive #COVID19 community transmission.
 
 We understand the effort required to suppress transmission in these situations. But it can be done""-@DrTedros #coronavirus",110,213,2440.25
159,0,"i, personally, would really like democratic leadership — elected specifically to hold the administration accountable — to treat the president’s lying on coronavirus as a crisis. https://t.co/ziQvRXGUjj",1661,7305,824.67
160,0,"🔴Importante -&gt; A pesar de los rumores que han corrido al respecto, la OMS no encontró ningún caso de reinfección en China.

Una vez pasas la infección por el nuevo coronavirus, tienes inmunidad. (Que en el caso de otros virus sabemos que puede prolongarse meses/años). https://t.co/x945hKm1JV",1220,1895,423.9
163,0,"El coronavirus viendo cómo arman sus planes para el lollapalooza 
 https://t.co/qDl25h7I3z",3262,24620,4.64
164,0,Ricordiamo al Coronavirus che noi siamo la generazione che è sopravvissuta a quest'arma battereologica di distruzione di massa. https://t.co/051igEooAB,1618,8339,13.3
165,0,"Pour le Coronavirus : 

« Ô الله ! Je me réfugie auprès de toi contre la lèpre, le folie, l’éléphantiasis et les mauvaises maladies ».

Sunan Abi Dawud 1554 📚 https://t.co/abOMh3ql12",2552,6705,3.03
167,0,Elle t’énerve mais la voir s’infecter du coronavirus par un autre gars te tuerait,6031,15490,41.43
168,0,"pretty convinced we already have a case of the novel coronavirus here in the country, results are just taking too long because we have to send them to australia; what's making me angry is the refusal of this government to take proactive action to stop it from spreading 🙃",4332,17168,21.27
170,1,"La discussion aujourd’hui fait suite à une déclaration d'intention signée par le président de la République française @EmmanuelMacron et @DrTedros le 11 juin 2019, à l'OMS pour soutenir la création de l'Académie de l'OMS. 
 
 https://t.co/M8S9eOaX0W https://t.co/jMX6DlnPo3",11,40,2684.28
175,0,"Se o coronavírus nao te pegar, eu pego",3490,4630,1.0
176,0,"Breaking News: More than 1,000 people in the U.S. have now tested positive for coronavirus. With maps and charts, we're tracking every case in the country. https://t.co/M41pZWB3fe",2897,4366,72034.16
177,1,"""This is especially relevant for many vulnerable countries whose health systems may collapse under the weight of the numbers of patients we've seen in some countries with community transmission""-@DrTedros #COVID19 #coronavirus",92,163,2440.25
178,0,China envía a Italia a sus mejores expertos en epidemias para ayudar a combatir el coronavirus. El país asiático contribuye también con la donación de numeroso material médico y equipos de protección https://t.co/QXOHPZGaLC,2626,5794,109.74
179,1,"@DrTedros ""Because #COVID19 is also a respiratory pathogen, those systems can, should and are being adapted for COVID-19""-@DrTedros #coronavirus",158,297,2440.25
180,0,"BREAKING NOW: New York State to Deploy National Guard, Set-Up Coronavirus ‘Containment Area’ https://t.co/PQAEgmgu2c",1623,2609,8955.56
182,0,".@realDonaldTrump knew in Jan about #COVID19. He viewed it as a border problem. But a virus is not a Chinese citizen. It can be carried by US travelers &amp; citizens of other countries.

What we needed were test kits. The continuing testing fiasco is a dereliction of duty by @POTUS. https://t.co/FnMOmFqTAA",2952,8114,2771.12
184,0,"🍝Si potrà sempre uscire per acquistare generi alimentari
🛒non c’è alcuna necessità di accaparrarseli ora 
🚚 nessun limite al transito delle merci, i corrieri possono circolare

Risposte a domande frequenti ⤵ 
https://t.co/TH3jHzA3Li

#iorestoacasa #coronavirus #Covid19 https://t.co/6P72lSjDbb",1967,3106,345.11
185,0,"Thread: #COVID19 #Coronavirus updates &amp; data. 

I will repeat this, but really important: cases coming out of the US WILL EXPLODE in the coming days. This is NOT a cause for panic. These EXISTING cases are finally being diagnosed, since testing is now more broadly available. 1/",8257,23794,98.3
186,0,"Evau 2050:
Impacto del Coronavirus en la sociedad de este siglo y consecuencias sobre los del 2002",3188,15295,0.78
187,0,"Donc en pleine crise sur le #coronavirus, le gouvernement en profite (l’air de rien) pour dégainer le 49.3 pour faire passer la réforme des retraites. Sans surprise sur la méthode. #GreveGenerale #retraites",2617,5462,214.15
